Loops	Normalized	Root	Log	Linear
0	0.133333333333	0.149253731343	0.149425287356	0.143939393939
1	0.12426035503	0.12962962963	0.128491620112	0.131672597865
2	0.134615384615	0.127272727273	0.14450867052	0.144736842105
3	0.148387096774	0.126637554585	0.139664804469	0.152866242038
4	0.147239263804	0.130044843049	0.130681818182	0.141914191419
5	0.149068322981	0.139423076923	0.137142857143	0.151943462898
10	0.133757961783	0.135371179039	0.132450331126	0.135416666667
15	0.143790849673	0.148471615721	0.151724137931	0.152173913043
20	0.152777777778	0.162162162162	0.151724137931	0.153846153846
