Loops	Normalized	Root	Log	Linear
0	0.161585365854	0.175496688742	0.171617161716	0.177215189873
1	0.245508982036	0.227488151659	0.244444444444	0.190909090909
2	0.262411347518	0.188118811881	0.267515923567	0.196261682243
3	0.280575539568	0.154285714286	0.253333333333	0.102564102564
4	0.276119402985	0.135294117647	0.24	0.100529100529
5	0.288888888889	0.120481927711	0.251798561151	0.142329020333
10	0.265734265734	0.142857142857	0.2	0.143939393939
15	0.181318681319	0.114406779661	0.140127388535	0.145484949833
20	0.138554216867	0.127413127413	0.137254901961	0.141164856861
