Loops	Normalized	Root	Log	Linear
0	0.0114285714286	0.333333333333	0.333333333333	0.333333333333
1	0.0818965517241	0.119047619048	0.144329896907	0.101265822785	
2	0.0828402366864	0.144444444444	0.11	0.142857142857
3	0.111111111111	0.121951219512	0.135135135135	0.1
4	0.115107913669	0.131578947368	0.127659574468	0.0923076923077
5	0.115384615385	0.134328358209	0.139534883721	0.185714285714
10	0.125	0.25	0.180327868852	0.210526315789
15	0.102040816327	0.177777777778	0.169491525424	0.209090909091
20	0.104575163399	0.225	0.180327868852	0.219512195122
